check,value,note
commits on HEAD,273,"as of fab6962, which is the commit BEFORE the one recording this; the count necessarily excludes that commit and every later one"
commits on all refs,273,"the scan covers this set, as of fab6962"
commits containing a private key block,0,the matched strings are deliberately not printed here
commit-and-file pairs containing a private key block,0,a file touched in two commits counts twice
diff lines containing a private key block,0,"both sides of the diff, so a scrub commit contributes its removal line as well as the original addition"
commits containing a service-account key material,0,the matched strings are deliberately not printed here
commit-and-file pairs containing a service-account key material,0,a file touched in two commits counts twice
diff lines containing a service-account key material,0,"both sides of the diff, so a scrub commit contributes its removal line as well as the original addition"
commits containing a AWS access key,0,the matched strings are deliberately not printed here
commit-and-file pairs containing a AWS access key,0,a file touched in two commits counts twice
diff lines containing a AWS access key,0,"both sides of the diff, so a scrub commit contributes its removal line as well as the original addition"
commits containing a GitHub token,0,the matched strings are deliberately not printed here
commit-and-file pairs containing a GitHub token,0,a file touched in two commits counts twice
diff lines containing a GitHub token,0,"both sides of the diff, so a scrub commit contributes its removal line as well as the original addition"
commits containing a Slack token,0,the matched strings are deliberately not printed here
commit-and-file pairs containing a Slack token,0,a file touched in two commits counts twice
diff lines containing a Slack token,0,"both sides of the diff, so a scrub commit contributes its removal line as well as the original addition"
commits containing a Google API key,0,the matched strings are deliberately not printed here
commit-and-file pairs containing a Google API key,0,a file touched in two commits counts twice
diff lines containing a Google API key,0,"both sides of the diff, so a scrub commit contributes its removal line as well as the original addition"
commits containing a OAuth access token,0,the matched strings are deliberately not printed here
commit-and-file pairs containing a OAuth access token,0,a file touched in two commits counts twice
diff lines containing a OAuth access token,0,"both sides of the diff, so a scrub commit contributes its removal line as well as the original addition"
commits containing a GCP billing account ID,3,the matched strings are deliberately not printed here
commit-and-file pairs containing a GCP billing account ID,8,a file touched in two commits counts twice
diff lines containing a GCP billing account ID,10,"both sides of the diff, so a scrub commit contributes its removal line as well as the original addition"
"commits carrying an AI co-author trailer, all refs",202,"git's structured trailer parser, not a grep over the body: three commits discuss the trailer in prose without carrying one"
"commits carrying an AI co-author trailer, HEAD only",202,"the count that describes the published branch. It equals the all-refs figure now that main is the only ref: the two working branches were deleted before the v1.0.0 deposit. The trailer ran to 202953d, stopped, and resumes; SECURITY.md explains the gap and no history is rewritten"
commits containing credential material of any kind,0,"everything except the billing account ID, which is an identifier rather than a credential and is documented in SECURITY.md"
