model,quantity,value,ci_low,ci_high,n
kmer,nested_gc,0.026513098340627504,0.02100491022418688,0.03243348789858112,94
kmer,nested_dn,0.06626325416626831,0.05600698412554989,0.07677573082851871,94
kmer,contrast_auroc,0.03975015582564081,0.03368308893347372,0.04585607662541854,94
kmer,contrast_dprime,0.1292668346871916,0.1085519895533401,0.1502581175417889,94
kmer,contrast_scale_only,0.008348965087869847,0.006160191533579595,0.010865518309998467,94
kmer,contrast_protocol,0.031401190737770965,0.026669934279817467,0.03627583172514643,94
kmer,contrast_protocol_reverse,0.021458991567445632,0.017969451072522364,0.025105701107663473,94
kmer,contrast_protocol_logit,0.028847857967806843,0.024356916320797745,0.03361183263991678,94
kmer,contrast_protocol_logit_reverse,0.018806683324754204,0.015557934691313599,0.022191951605005717,94
kmer,contrast_positive_datasets,88.0,,,94
kmer,protocol_effect_min,0.018806683324754204,,,94
kmer,protocol_effect_max,0.031401190737770965,,,94
cnn,nested_gc,0.03300453940390074,0.02527273977408165,0.04081874140274296,94
cnn,nested_dn,0.08600314190115597,0.07305315181546618,0.09961934353351243,94
cnn,contrast_auroc,0.05299860249725525,0.04456490085274638,0.0613977769176978,94
cnn,contrast_dprime,0.1890983014181167,0.15657283797581723,0.22198006946262483,94
cnn,contrast_scale_only,0.011830787642049421,0.008802308039601527,0.015398755005644998,94
cnn,contrast_protocol,0.04116781485520583,0.03518870379634863,0.04692483033871166,94
cnn,contrast_protocol_reverse,0.02457877418123543,0.021215167039873622,0.028043262260848044,94
cnn,contrast_protocol_logit,0.03763606499281517,0.03218040146349889,0.042966869586279245,94
cnn,contrast_protocol_logit_reverse,0.021270755972587974,0.018281356374465155,0.024456680014525157,94
cnn,contrast_positive_datasets,89.0,,,94
cnn,protocol_effect_min,0.021270755972587974,,,94
cnn,protocol_effect_max,0.04116781485520583,,,94
splicebert,nested_gc,0.08902656237648787,0.07517131139314914,0.10438051467005392,94
splicebert,nested_dn,0.17537926379280305,0.1590865695394933,0.19313144878971775,94
splicebert,contrast_auroc,0.08635270141631521,0.07884607154899138,0.09425640914447492,94
splicebert,contrast_dprime,0.282462300104113,0.2542411850955389,0.31228216060634023,94
splicebert,contrast_scale_only,0.032012795314443156,0.027324254262604354,0.03697710468079406,94
splicebert,contrast_protocol,0.054339906101872046,0.04966745594134703,0.0589466910270119,94
splicebert,contrast_protocol_reverse,0.03116478072253631,0.028246897535961445,0.03398740191251426,94
splicebert,contrast_protocol_logit,0.04578881777886521,0.04144893651183593,0.049926413183951364,94
splicebert,contrast_protocol_logit_reverse,0.025321126289313375,0.022568101289275253,0.027997175887045166,94
splicebert,contrast_positive_datasets,94.0,,,94
splicebert,protocol_effect_min,0.025321126289313375,,,94
splicebert,protocol_effect_max,0.054339906101872046,,,94
ladder,step_cnn_minus_kmer,0.01324844667161444,0.00676056590732526,0.019545764794129884,94
ladder,step_cnn_minus_kmer_datasets,58.0,,,94
ladder,step_splicebert_minus_cnn,0.03335409891905995,0.028677735067206524,0.038119094953538546,94
ladder,step_splicebert_minus_cnn_datasets,90.0,,,94
ladder,step_splicebert_minus_kmer,0.046602545590674394,0.041652275882326235,0.05169459147419117,94
ladder,step_splicebert_minus_kmer_datasets,94.0,,,94
-,min_row_coverage_gc,1.0,,,94
-,min_row_coverage_dn,0.9980322707595436,,,94
