dataset,model,published,recomputed,abs_diff,note
AATF:K562,splicebert,0.7553366918800132,0.7553366918800132,0.0,
AKAP1:HepG2,splicebert,0.7440609793260327,0.7440609793260328,1.1102230246251565e-16,
AQR:HepG2,splicebert,0.9402934140566068,0.9402934140566067,1.1102230246251565e-16,
BCCIP:HepG2,splicebert,0.7405832969045267,0.7405832969045267,0.0,
BCLAF1:HepG2,splicebert,0.9161563145375604,0.9161563145375602,2.220446049250313e-16,
BUD13:K562,splicebert,0.9021436305020908,0.9021436305020907,1.1102230246251565e-16,
CDC40:HepG2,splicebert,0.7912206315740429,0.7912206315740428,1.1102230246251565e-16,
CSTF2T:HepG2,splicebert,0.8699568498002037,0.8699568498002038,1.1102230246251565e-16,
DDX24:K562,splicebert,0.9152061957465276,0.915206195746528,3.3306690738754696e-16,
DDX55:HepG2,splicebert,0.7332269517018951,0.733226951701895,1.1102230246251565e-16,
DDX55:K562,splicebert,0.7489005536210578,0.7489005536210579,1.1102230246251565e-16,
DDX59:HepG2,splicebert,0.8176549564809854,0.8176549564809854,0.0,
DDX6:HepG2,splicebert,0.7518607359009911,0.7518607359009912,1.1102230246251565e-16,
DDX6:K562,splicebert,0.7725842975909368,0.7725842975909367,1.1102230246251565e-16,
DGCR8:K562,splicebert,0.6697904279529608,0.6697904279529607,1.1102230246251565e-16,
DHX30:K562,splicebert,0.7192743189744556,0.7192743189744557,1.1102230246251565e-16,
DROSHA:HepG2,splicebert,0.7593290028042775,0.7593290028042775,0.0,
DROSHA:K562,splicebert,0.803186780385882,0.8031867803858821,1.1102230246251565e-16,
EFTUD2:HepG2,splicebert,0.8541546047789386,0.8541546047789383,2.220446049250313e-16,
EIF3H:HepG2,splicebert,0.8116883019726133,0.8116883019726132,1.1102230246251565e-16,
ELAC2:K562,splicebert,0.921140972219412,0.9211409722194118,2.220446049250313e-16,
ELAVL1:K562,splicebert,0.8734217809497365,0.8734217809497364,1.1102230246251565e-16,
EXOSC5:HepG2,splicebert,0.73401270318185,0.73401270318185,0.0,
FASTKD2:HepG2,splicebert,0.7552268045615749,0.7552268045615749,0.0,
FASTKD2:K562,splicebert,0.8016571125120844,0.8016571125120845,1.1102230246251565e-16,
FKBP4:HepG2,splicebert,0.799410249957902,0.799410249957902,0.0,
